year,adjDividend,isLtmEqualToLastYear
LTM,1.45,False
2023,1.39,
2022,1.25,
2021,1.13,
2020,1.01,
2019,0.905,
2018,0.82,
2017,0.74,
2016,0.66,
2015,0.58,
2014,0.5,
2013,0.435,
2012,0.375,
2011,0.323,
2010,0.28,
2009,0.255,
2008,0.235,
2007,0.173,
2006,0.081,
2005,0.066,
2004,0.053,
2003,0.039,
2002,0.031,
2001,0.03,
2000,0.03,
1999,0.03,
1998,0.03,
1997,0.026,
1996,0.013,
1995,0.005,
1994,0.003,
1993,0.003,
1992,0.003,
1991,0.002,
1990,0.014,
1989,0.013,
1988,0.007,
1987,0.005,
