year,adjDividend,isLtmEqualToLastYear
LTM,0.97,False
2023,0.95,
2022,0.91,
2021,0.865,
2020,0.807,
2019,0.76,
2018,0.705,
2017,0.615,
2016,0.557,
2015,0.508,
2014,0.461,
2013,0.421,
2012,0.189,
2011,0.0,
2010,0.0,
2009,0.0,
2008,0.0,
2007,0.0,
2006,0.0,
2005,0.0,
2004,0.0,
2003,0.0,
2002,0.0,
2001,0.0,
2000,0.0,
1999,0.0,
1998,0.0,
1997,0.0,
1996,0.0,
1995,0.004,
1994,0.004,
1993,0.004,
1992,0.004,
1991,0.004,
1990,0.004,
1989,0.004,
1988,0.003,
