year,adjDividend,isLtmEqualToLastYear
LTM,2.65,False
2023,2.62,
2022,2.57,
2021,2.52,
2020,2.47,
2019,2.42,
2018,2.37,
2017,2.32,
2016,2.27,
2015,2.21,
2014,2.14,
2013,2.08,
2012,2.02,
2011,1.96,
2010,1.85,
2009,1.74,
2008,1.64,
2007,1.54,
2006,1.46,
2005,1.44,
2004,1.38,
2003,1.38,
2002,1.38,
2001,1.38,
2000,1.43,
1999,1.39,
1998,1.38,
1997,1.0,
1996,1.29,
1995,1.25,
1994,1.23,
1993,0.895,
1992,1.16,
1991,1.12,
1990,1.04,
1989,0.742,
1988,0.917,
1987,0.863,
1986,0.809,
1985,0.592,
