symbol,date,calendarYear,period,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,grossProfitMargin,operatingProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,netIncomePerEBT,ebtPerEbit,ebitPerRevenue,debtRatio,debtEquityRatio,longTermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue,freeCashFlowMargin,returnOnInvestedCapital,cashConversionRatio,freeCashFlowToEarnings,pricePerShare,earningsPerShare,revenuePerShare,dividendPerShare,ebitPerShare,evPerShare
MSFT,2014-06-30,2014,FY,2.504021917808219,2.3069150684931508,0.1900054794520548,82.15263782202618,35.8556761946968,118.00831401672298,100.18022010488218,17.828093911840796,0.6881600313244964,0.3196826091462923,0.3203851070445568,0.2542121082998399,0.20654205607476636,0.12805132726935214,0.24585672280139,0.2189903675478664,0.7934579439252336,1.002197485500198,0.3196826091462923,0.13136369964729905,0.2522164305444177,0.18695270264151626,0.20141600476745325,46.49748743718593,1.4233164053875027,1.9199857435623273,4.442949242734343,3.643433799784715,10.1796992481203,6.673814464683729,0.5037184425468721,3.883720930232558,3.22279792746114,10.32762983491987,0.40223792697290933,0.3711837665403706,0.8298222208432875,1.4233164053875027,16.1155,-5.876207839562443,9.496464348850914,0.4022379269729093,3.8544540229885063,3.8544540229885063,3.985446777146937,15.67764338135363,12.939067524115755,10.737125748502995,10.737125748502995,8.183729845066525,3.985446777146937,0.025656785091266666,10.933957909441526,3.8544540229885063,0.3080165374915067,0.18651536171920197,1.4601340944097128,1.2116517169520704,41.699999999999996,2.659838534763224,10.463067839498734,1.06988793830582,3.3448608266056152,34.101012170140976
MSFT,2013-06-30,2013,FY,2.7117620333003716,2.525803779030922,0.10166501857444477,81.98422587316472,34.700515084621046,116.68474095778576,86.44689722835419,30.237843729431575,0.7381469254582589,0.3437937545761667,0.3474932240619661,0.2808385464167812,0.19181576223569421,0.15349888718045931,0.2769431495743818,0.2548612565943588,0.8081842377643058,1.0107607233597369,0.3437937545761667,0.10952671820039177,0.19760843129306851,0.13764815118247856,0.16500253850059232,62.386946386946384,1.8482692307692308,1.804202979327118,4.452075946471463,4.222245236122618,10.518575851393189,7.791912721449305,0.5465734285373268,3.4427462686567165,2.93444776119403,9.19665671641791,0.3409870557563006,0.37037084612519106,0.8523566746436375,1.8482692307692308,9.614204734911636,-6.77307963354475,9.01594746716698,0.3409870557563006,3.645178860964734,3.645178860964734,3.696450821462061,13.162191830947263,11.709187825520834,9.980404397738702,9.980404397738702,0.4506377542120927,3.696450821462061,0.02590655569648845,9.75355712564712,3.645178860964734,0.3156880627882182,0.21371646022649815,1.3188034578969035,1.1240909298815351,34.36000000000001,2.6105074626865674,9.29540298507463,0.8901492537313433,3.195701492537314,27.026029850746276
MSFT,2012-06-30,2012,FY,2.602912383749388,2.4112824278022518,0.2122491434165443,78.12622926359481,23.67398745008557,101.80021671368038,86.92954934398175,14.870667369698637,0.762218032364391,0.2951995984970769,0.30203599962019995,0.23029448069123612,0.23752638433556383,0.1400004947596705,0.2558353299278212,0.24567919352471693,0.7624736156644362,1.023158571888067,0.2951995984970769,0.0984901584055545,0.1799798080255564,0.13899268254709637,0.15252787107155172,57.27105263157895,2.6478566644340256,1.8273887557825896,4.67192648922687,4.198802395209581,15.417766051011434,8.915588342000241,0.6079194531256442,3.766793711291091,3.4922582181991424,7.5083373034778464,0.376074920485334,0.42898417047597087,0.9271169291089609,2.6478566644340256,25.69130787977254,-13.72060737527115,7.751470588235295,0.3760749204853339,3.870133056070401,3.870133056070401,3.4837654463328946,15.127437860760983,8.759375191842025,8.120965028773794,8.120965028773794,-0.581660638871514,3.4837654463328946,0.024860450523537334,8.46719829258828,3.870133056070401,0.3977184867680371,0.2032422475069523,1.862763576392979,1.7269996466014843,30.590000000000003,2.022153406383993,8.780728918532636,0.7604811815150071,2.5920676512625063,24.504244878513582
MSFT,2011-06-30,2011,FY,2.603669979842914,2.35486897893932,0.3339820671439494,78.21018543671276,32.14868074725557,110.35886618396833,98.34403286897349,12.014833314994846,0.777290079064381,0.38833049769097694,0.4013410920320833,0.3309838010951775,0.17530547540166008,0.21296364439211068,0.4055498134295675,0.33980983360440387,0.8246945245983399,1.0335039210632893,0.38833049769097694,0.15900058875478362,0.3027871695601142,0.17275810097965336,0.23241491521777133,92.07118644067796,1.5617912520249941,1.904314769721283,4.666911323146727,3.711460567071718,11.353498542274053,8.569345748591031,0.643426184869002,3.179505300353357,2.902120141342756,6.215783274440518,0.22375809935205185,0.38594283916903765,0.9127583907535007,1.5617912520249941,5.033376841320156,-11.462420382165606,9.555398230088496,0.22375809935205185,3.867000683215668,3.867000683215668,3.155998455885507,9.535205183585314,8.95896749056374,8.177372749499888,8.177372749499888,0.3384997840172786,3.155998455885507,0.023466521699737248,7.460897778967086,3.867000683215668,0.352272564802768,0.3185370873523252,1.166047516198704,1.0643196544276459,26.0,2.7267373380447584,8.238280329799764,0.6101295641931684,3.199175500588928,21.82002355712603
MSFT,2010-06-30,2010,FY,2.1293456228247982,1.9046926989712012,0.21054040616514322,76.02122143268677,21.791044776119403,97.81226620880618,118.52561516740622,-20.713348958600037,0.8016292170795724,0.38566673068305485,0.40031047948274756,0.3002368606363229,0.24999000519729742,0.21785328579889215,0.4062804547915539,0.4018610545976053,0.7500099948027026,1.0379699560129472,0.38566673068305485,0.06896751942215461,0.12861938278289117,0.0966271471612474,0.11396169935142188,159.58940397350995,4.053375989223775,1.8649269085002707,4.80129091747349,3.079503105590062,16.75,8.189252948885976,0.7256047286704679,2.7315329626687848,2.5072052649495062,4.174287983660501,0.24402985074626865,0.3852666282568338,0.917874797490965,4.053375989223775,24.073,-12.17653009610521,9.25528642829681,0.24402985074626865,4.391708283703303,4.391708283703303,3.2454249087766467,10.809548507462686,9.177549330195511,8.423841232916546,8.423841232916546,0.35239128134328357,3.2454249087766467,0.022575397166476982,7.587124509986933,4.391708283703303,0.3536265283912682,0.33186575448037176,1.2832089552238808,1.1778251599147123,23.009999999999998,2.1286735504368544,7.089980710314308,0.5194598888006353,2.734369681152842,19.50960285941223
MSFT,2009-06-30,2009,FY,1.8228896944588295,1.577236073093142,0.22475401346452614,69.9057104231908,21.53064582476347,91.43635624795427,99.81571369806663,-8.379357450112366,0.7919982203056283,0.348460735492924,0.3391857898249397,0.24931122405325393,0.26497149487916855,0.18705063681183237,0.3682946559482279,0.40042081252212214,0.7350285051208314,0.9733830967932033,0.348460735492924,0.07377259654889072,0.14525506850700237,0.0865047108812119,0.12683206780858203,535.8684210526316,3.313087365123564,1.9689569745689872,5.221318799142244,3.656738868832732,16.95258019525802,7.755408095554081,0.7502696179129006,2.128228060368921,1.779541643376188,3.5155953046394632,0.3066785640744046,0.325769632253538,0.8361611598466144,3.313087365123564,9.5185,-6.103558832959282,14.111934766493698,0.3066785640744046,5.374959553061328,5.374959553061328,3.6384935913890173,14.59418285400508,13.357372157306195,11.168915795556023,11.168915795556023,-1.0269980526892464,3.6384935913890173,0.021013753708741756,8.969227681777852,5.374959553061328,0.27239591354792336,0.3342575695603977,1.3066785640744045,1.0925938636831627,23.770000000000003,1.6287311347121298,6.532923420905535,0.4994969256567916,2.276467300167692,20.896774734488545
MSFT,2008-06-30,2008,FY,1.4468982132101988,1.2464364585424614,0.3459479354881885,82.0917742469381,30.998879117089153,113.09065336402725,126.95378513536816,-13.863131771340917,0.808043694141013,0.36860311155246606,0.39414101290963255,0.29263488910956637,0.2575375829344083,0.2428942343357191,0.4872678167888442,0.5190528352017153,0.7424624170655917,1.0692829239818598,0.36860311155246606,0.12083579465058454,0.24240754009810947,0.0,0.19511113082826848,210.10377358490567,2.457025920873124,2.006090503224384,4.446243285009935,2.8750619732275657,11.774619289340102,9.679589875040051,0.8300248650282307,2.3168953687821614,1.9757718696397941,2.536663807890223,0.22707991629432725,0.3576961271102284,0.8527669813066815,2.457025920873124,2.457025920873124,-6.7919547454431175,25.944777911164465,0.22707991629432722,7.071963842804388,7.071963842804388,4.2471578947368425,14.513504892257226,13.923672273467172,11.87364797334814,11.87364797334814,0.4543358053228349,4.2471578947368425,0.015646111534056224,10.183355937810122,7.071963842804388,0.30503144654088055,0.5077186345636143,1.2223290537865505,1.0423618573610092,27.509999999999998,1.895475986277873,6.477272727272727,0.43042452830188666,2.387542881646655,25.91630360205832
MSFT,2007-06-30,2007,FY,1.6909994106255788,1.4628694114675422,0.2572619348320283,80.95086264230665,38.46955952492284,119.42042216722949,110.83465818759936,8.58576397963013,0.790833691952584,0.3606666405852666,0.39319666679707366,0.2751261687727397,0.3002835679816925,0.22264963353437495,0.4522944335466444,0.46776771443793286,0.6997164320183076,1.0901941642260549,0.3606666405852666,0.03680486299092938,0.07476605460333795,0.0,0.06956495721381126,0.0,7.654193548387097,2.031417821654822,4.508908096666079,3.2931937172774868,9.488021295474711,11.752183908045977,0.8092637444396954,1.8267296243071238,1.5943338123588586,2.4030999794703347,0.27052968361180235,0.34810844646140604,0.8727804000899079,7.654193548387097,7.654193548387097,-7.860424028268551,11.54834523036989,0.27052968361180235,9.23229700614207,9.23229700614207,5.615913696647236,20.41213935300391,18.48420937419521,16.13265565295572,16.13265565295572,1.0738560268319446,5.615913696647236,0.013253372365008394,14.384444558206205,9.23229700614207,0.30382222917726226,0.38735878140736063,1.2652683967294704,1.1043014575186634,29.470000000000002,1.4437487168959149,5.247587764319443,0.39057688359679743,1.892629850133443,27.305557380414704
MSFT,2006-06-30,2006,FY,2.183851706621513,1.937305053025577,0.2991711968630247,76.78831127772007,70.51895424836601,147.3072655260861,138.7954248366013,8.511840689484785,0.8272435752676031,0.37197958538458065,0.4124023305180434,0.28451741113770834,0.3100974701566094,0.18102791787002312,0.3141581887093557,0.34931608525076874,0.6899025298433906,1.1086692569208354,0.37197958538458065,0.050217681796629166,0.08714841412327948,0.0,0.08016238904562031,0.0,4.1213161659513595,1.7354129263913824,4.753327608415629,2.6297696803025095,5.175913396481732,14.5473061760841,0.6362630573156889,1.3799578463307147,1.2287794596666028,3.272753401034681,0.28137153742360504,0.3252788943588817,0.8904470980283254,4.1213161659513595,4.1213161659513595,-9.128010139416984,7.322826639552618,0.281371537423605,6.064367644125275,6.064367644125275,5.492195474459148,19.303547900627034,18.961905504444097,16.884573729519577,16.884573729519577,2.7266261409635644,5.492195474459148,0.014576156614943582,13.833951447791751,6.064367644125275,0.28964364753172844,0.2810037949501825,1.14326533851893,1.0180173029605524,23.3,1.2070319984671394,4.2423835983904965,0.33962444912818546,1.5780800919716422,20.362080858401992
MSFT,2005-06-30,2005,FY,2.887776263553949,2.6622622503999525,0.28743260058067194,65.86659294259576,29.71563588128005,95.58222882387581,126.24606201293318,-30.66383318905737,0.8484216346637177,0.3659646124459636,0.41791494923092387,0.3079823062229818,0.263050276641809,0.17304243451246204,0.2546814922581316,0.2699581000407876,0.736949723358191,1.1419545360895542,0.3659646124459636,0.023469603897479346,0.03454224254390523,0.0,0.03338891455893284,0.0,9.990974729241877,1.47178634521459,5.54150417827298,2.8911792905081497,12.283095723014256,16.95993179880648,0.5618583633411001,1.5319678937171326,1.4570532336931452,3.482885875080727,2.9469560959686634,0.4173368854931135,0.951099066546221,9.990974729241877,9.990974729241877,-20.449507389162562,0.47039660056657223,2.9469560959686634,5.595775953444872,5.595775953444872,6.766883482457022,21.971663130406398,17.048107389349713,16.214439024390245,16.214439024390245,0.45130983727321267,6.766883482457022,0.1341253085156943,19.80595999700352,5.595775953444872,0.39692872222780734,0.2186062485346144,1.3550677329851477,1.2888036559490779,24.840000000000003,1.1305470984408157,3.670818341175386,3.331672663529847,1.3433896115877852,21.51044930344128
