year,adjDividend,isLtmEqualToLastYear
LTM,20.2,False
2023,20.0,
2022,19.52,
2021,16.52,
2020,14.52,
2019,13.2,
2018,12.02,
2017,10.0,
2016,9.16,
2015,8.72,
2014,7.72,
2013,6.72,
2012,6.0,
2011,5.5,
2010,4.0,
2009,3.12,
2008,3.12,
2007,2.68,
2006,1.68,
2005,1.2,
2004,1.0,
