year,adjDividend,isLtmEqualToLastYear
LTM,2.01,False
2023,1.87,
2022,1.57,
2021,1.34,
2020,1.22,
2019,1.05,
2018,0.88,
2017,0.69,
2016,0.585,
2015,0.5,
2014,0.42,
2013,0.348,
2012,0.247,
2011,0.168,
2010,0.131,
2009,0.11,
